price,date,bedrooms,sqft_lot,standard
111300.0,2015-02-11,2,6000,low_standard
112000.0,2014-07-25,1,3230,low_standard
114000.0,2014-10-17,2,5200,low_standard
114975.0,2014-07-10,2,6250,low_standard
115000.0,2015-01-16,2,7252,low_standard
115000.0,2014-07-08,1,9812,low_standard
115000.0,2014-09-24,3,6250,low_standard
115000.0,2015-02-24,3,7942,low_standard
115000.0,2014-12-05,2,16524,low_standard
115000.0,2014-07-15,2,7980,low_standard
115000.0,2014-07-25,2,6000,low_standard
118000.0,2014-10-21,1,7957,low_standard
118125.0,2014-09-16,2,7153,low_standard
119500.0,2014-06-04,3,11000,low_standard
119900.0,2014-10-21,2,3180,low_standard
120000.0,2014-06-19,2,39964,low_standard
120000.0,2014-10-27,3,7500,low_standard
120000.0,2015-01-21,3,8924,low_standard
120750.0,2014-05-20,3,9628,low_standard
121800.0,2014-08-04,2,8384,low_standard
122000.0,2015-03-06,2,6840,low_standard
122000.0,2015-01-27,2,6000,low_standard
122000.0,2015-04-22,2,5280,low_standard
122000.0,2015-04-20,2,6728,low_standard
123000.0,2014-07-02,2,6600,low_standard
123300.0,2014-12-26,3,8050,low_standard
124000.0,2014-10-03,1,7203,low_standard
124000.0,2014-12-15,3,6250,low_standard
124500.0,2015-03-26,2,6480,low_standard
124740.0,2014-05-28,3,15600,low_standard
125000.0,2014-09-05,3,7314,low_standard
125000.0,2014-09-24,2,8382,low_standard
125000.0,2014-12-10,3,4800,low_standard
125000.0,2014-10-02,1,7440,low_standard
125000.0,2014-10-14,3,7276,low_standard
126000.0,2014-08-26,1,4400,low_standard
126500.0,2015-05-05,3,12212,low_standard
128000.0,2014-10-09,3,11117,low_standard
128000.0,2015-04-28,3,9690,low_standard
128000.0,2014-11-13,2,5393,low_standard
128750.0,2014-07-18,3,7004,low_standard
129000.0,2014-11-07,2,5240,low_standard
129000.0,2014-06-13,2,30184,low_standard
129000.0,2014-06-04,1,15364,low_standard
129888.0,2014-11-12,2,9900,low_standard
130000.0,2015-03-05,3,5100,low_standard
130000.0,2015-04-16,2,7500,low_standard
130000.0,2014-09-24,3,7000,low_standard
130000.0,2014-08-15,2,9000,low_standard
130000.0,2015-02-09,3,7520,low_standard
130000.0,2015-03-11,2,1500,low_standard
130000.0,2015-03-24,2,5300,low_standard
130000.0,2014-10-21,2,6654,low_standard
132500.0,2014-05-23,3,10500,low_standard
132500.0,2015-02-20,3,8573,low_standard
132825.0,2015-02-18,3,5200,low_standard
133000.0,2014-12-20,5,5600,low_standard
133000.0,2015-03-30,3,9115,low_standard
133400.0,2014-09-10,3,2550,low_standard
134000.0,2014-10-30,3,8508,low_standard
134000.0,2014-05-08,2,5000,low_standard
135000.0,2015-01-05,3,3000,low_standard
135000.0,2014-05-28,2,6685,low_standard
135000.0,2014-06-04,1,13062,low_standard
135000.0,2015-03-13,4,18599,low_standard
135000.0,2014-10-27,2,7250,low_standard
135000.0,2015-05-12,2,6120,low_standard
135000.0,2015-04-27,2,5217,low_standard
135000.0,2014-12-02,3,8450,low_standard
135000.0,2015-04-06,3,9600,low_standard
135000.0,2014-11-18,2,7609,low_standard
135900.0,2014-11-10,2,3800,low_standard
136500.0,2014-05-06,3,8580,low_standard
137000.0,2015-02-17,3,10125,low_standard
137000.0,2014-05-19,3,7620,low_standard
137124.0,2014-07-09,3,27442,low_standard
137900.0,2015-04-01,3,5082,low_standard
139000.0,2014-06-24,2,5280,low_standard
139000.0,2014-05-14,3,17334,low_standard
139000.0,2015-02-24,4,10648,low_standard
139500.0,2015-03-24,2,1561,low_standard
139950.0,2015-04-13,0,4269,low_standard
140000.0,2014-07-29,3,10114,low_standard
140000.0,2014-06-27,3,7473,low_standard
140000.0,2015-01-21,2,6052,low_standard
140000.0,2014-11-26,3,2002,low_standard
140000.0,2015-01-15,3,10560,low_standard
140000.0,2015-02-27,3,8000,low_standard
140000.0,2014-11-05,1,6890,low_standard
140000.0,2015-02-04,3,10620,low_standard
140000.0,2015-02-11,3,8991,low_standard
140000.0,2014-08-11,2,6400,low_standard
141800.0,2014-05-19,2,4743,low_standard
142000.0,2014-09-26,0,20875,low_standard
142500.0,2015-04-09,1,6825,low_standard
142500.0,2014-06-17,4,13300,low_standard
143000.0,2014-12-12,3,3315,low_standard
144000.0,2014-11-06,3,6800,low_standard
144000.0,2015-04-21,3,8314,low_standard
144975.0,2015-03-12,2,7500,low_standard
145000.0,2014-08-25,1,9750,low_standard
145000.0,2014-11-10,2,8125,low_standard
145000.0,2014-05-29,3,5490,low_standard
145000.0,2014-10-14,3,11880,low_standard
145600.0,2015-04-01,3,7560,low_standard
146000.0,2014-12-31,3,4770,low_standard
146000.0,2015-02-09,2,9750,low_standard
146300.0,2015-03-25,3,9668,low_standard
147000.0,2015-03-03,3,9606,low_standard
147000.0,2014-12-16,3,14000,low_standard
147200.0,2015-02-12,3,9600,low_standard
147400.0,2014-09-15,3,9225,low_standard
147500.0,2015-02-13,3,8498,low_standard
147500.0,2015-01-02,3,10125,low_standard
147500.0,2014-12-04,3,6552,low_standard
148000.0,2014-07-08,2,4200,low_standard
148000.0,2014-06-11,1,8261,low_standard
148226.0,2014-07-08,3,7360,low_standard
148900.0,2014-12-11,4,6000,low_standard
149000.0,2014-05-23,3,8645,low_standard
149000.0,2014-09-22,3,2800,low_standard
149500.0,2014-06-10,3,9450,low_standard
149900.0,2015-02-17,2,1950,low_standard
150000.0,2015-04-25,3,5200,low_standard
150000.0,2014-11-25,2,212137,low_standard
150000.0,2014-07-10,3,9527,low_standard
150000.0,2015-03-25,2,7200,low_standard
150000.0,2014-07-17,2,4045,low_standard
150000.0,2014-07-09,3,38500,low_standard
150000.0,2015-03-24,2,5208,low_standard
150000.0,2014-09-04,3,6776,low_standard
150000.0,2014-07-22,2,1934,low_standard
150000.0,2014-06-16,3,8056,low_standard
150000.0,2014-06-25,2,8100,low_standard
150000.0,2014-09-23,2,7275,low_standard
150000.0,2014-10-31,4,7254,low_standard
150000.0,2015-04-16,3,6488,low_standard
150000.0,2014-10-16,2,12750,low_standard
150000.0,2014-12-30,2,5700,low_standard
150000.0,2014-07-24,2,54000,low_standard
150000.0,2014-06-03,3,8220,low_standard
150000.0,2014-11-25,2,4120,low_standard
150000.0,2014-06-26,3,9612,low_standard
150000.0,2014-05-21,3,25000,low_standard
150000.0,2014-05-28,3,7680,low_standard
150000.0,2014-07-30,3,24684,low_standard
150000.0,2015-03-05,3,7210,low_standard
150000.0,2014-05-22,2,10270,low_standard
150550.0,2014-08-27,4,6061,low_standard
151000.0,2015-03-01,2,5040,low_standard
151000.0,2014-05-28,2,4222,low_standard
151100.0,2014-11-04,3,4495,low_standard
151600.0,2014-10-09,2,16988,low_standard
152000.0,2014-07-25,2,13500,low_standard
152000.0,2015-01-21,3,7754,low_standard
152000.0,2014-07-29,3,10464,low_standard
152000.0,2014-07-10,3,4875,low_standard
152000.0,2014-06-25,3,3264,low_standard
152275.0,2014-07-30,1,6871,low_standard
152500.0,2014-10-29,3,3523,low_standard
152500.0,2014-12-26,4,7350,low_standard
152900.0,2015-03-24,1,4368,low_standard
153000.0,2014-06-13,3,6405,low_standard
153000.0,2015-02-03,2,9000,low_standard
153000.0,2015-02-26,3,10500,low_standard
153000.0,2015-03-23,2,10152,low_standard
153500.0,2015-03-18,3,4810,low_standard
153503.0,2014-10-09,2,3649,low_standard
154000.0,2014-09-09,2,20524,low_standard
154000.0,2014-10-16,3,9997,low_standard
154200.0,2015-01-06,4,8640,low_standard
154500.0,2014-09-24,3,9465,low_standard
154950.0,2014-07-09,4,10183,low_standard
155000.0,2014-05-14,2,5200,low_standard
155000.0,2014-05-29,3,6250,low_standard
155000.0,2014-10-27,3,8400,low_standard
155000.0,2014-06-02,1,6000,low_standard
155000.0,2014-09-16,2,4755,low_standard
155000.0,2014-11-12,3,6098,low_standard
155000.0,2014-10-10,2,43056,low_standard
155000.0,2014-05-13,2,6232,low_standard
156000.0,2015-01-29,2,5889,low_standard
156000.0,2014-05-12,3,8580,low_standard
156000.0,2014-07-18,3,9750,low_standard
156000.0,2015-02-19,1,15000,low_standard
156000.0,2015-01-28,2,4000,low_standard
156000.0,2014-11-14,2,6138,low_standard
156601.0,2015-02-17,2,9750,low_standard
157000.0,2014-11-18,1,26326,low_standard
157000.0,2014-12-24,3,11530,low_standard
157000.0,2015-03-11,3,6250,low_standard
157340.0,2015-03-24,2,23000,low_standard
157500.0,2015-01-22,2,4500,low_standard
157500.0,2015-03-19,3,27008,low_standard
157500.0,2014-05-28,2,9003,low_standard
158000.0,2014-11-18,3,8925,low_standard
158000.0,2015-05-06,3,6090,low_standard
158000.0,2015-05-04,3,10477,low_standard
158000.0,2014-09-09,3,7200,low_standard
158550.0,2014-10-03,5,8100,low_standard
158800.0,2014-11-24,3,8291,low_standard
159000.0,2014-08-18,3,6534,low_standard
159000.0,2014-07-24,3,20000,low_standard
159075.0,2014-10-25,4,6200,low_standard
159100.0,2015-03-11,2,7095,low_standard
159995.0,2014-10-28,2,5026,low_standard
160000.0,2015-03-26,3,6497,low_standard
160000.0,2014-12-30,4,7350,low_standard
160000.0,2015-02-26,3,8976,low_standard
160000.0,2014-12-24,2,4750,low_standard
160000.0,2015-01-29,2,4200,low_standard
160000.0,2014-10-24,3,5355,low_standard
160000.0,2014-09-23,3,8682,low_standard
160000.0,2014-05-27,2,9350,low_standard
160000.0,2014-09-25,4,7298,low_standard
160000.0,2014-10-08,3,8006,low_standard
160000.0,2014-12-04,3,8360,low_standard
160000.0,2014-08-01,3,7392,low_standard
160000.0,2014-05-07,2,13100,low_standard
160000.0,2015-04-22,2,13647,low_standard
160000.0,2015-02-05,2,7742,low_standard
160000.0,2014-11-06,2,4500,low_standard
160000.0,2014-07-11,3,7000,low_standard
160000.0,2014-05-14,3,11900,low_standard
160000.0,2014-06-06,3,103237,low_standard
160000.0,2014-12-10,3,8000,low_standard
160000.0,2015-02-11,4,14722,low_standard
160000.0,2015-03-23,3,3240,low_standard
160000.0,2014-06-24,3,9600,low_standard
160000.0,2014-09-17,2,2258,low_standard
160000.0,2015-04-27,2,23030,low_standard
160000.0,2015-01-13,3,18552,low_standard
160000.0,2014-07-08,3,8700,low_standard
160134.0,2014-12-26,3,10116,low_standard
160797.0,2014-06-23,3,2356,low_standard
161000.0,2014-08-05,4,8043,low_standard
161500.0,2014-12-12,3,6000,low_standard
161700.0,2014-06-04,4,7200,low_standard
162000.0,2014-09-19,4,7641,low_standard
162000.0,2015-02-18,3,6750,low_standard
162000.0,2015-01-07,4,16638,low_standard
162248.0,2015-04-29,2,8960,low_standard
162500.0,2014-10-01,2,6141,low_standard
162500.0,2015-01-23,3,7417,low_standard
162950.0,2014-07-11,2,2784,low_standard
163000.0,2015-03-04,2,7543,low_standard
163000.0,2015-02-24,3,4811,low_standard
163250.0,2014-11-13,2,8150,low_standard
163500.0,2014-10-22,3,7200,low_standard
163500.0,2014-07-23,2,3419,low_standard
163800.0,2014-08-02,2,1092,low_standard
164000.0,2014-11-03,3,8250,low_standard
164000.0,2014-10-23,4,4875,low_standard
164808.0,2014-07-25,3,5411,low_standard
164950.0,2014-06-26,3,15330,low_standard
165000.0,2014-07-08,1,8050,low_standard
165000.0,2014-11-11,3,7690,low_standard
165000.0,2014-08-20,3,5000,low_standard
165000.0,2014-07-23,4,7134,low_standard
165000.0,2015-04-16,3,5156,low_standard
165000.0,2014-07-11,2,7768,low_standard
165000.0,2014-08-20,3,7200,low_standard
165000.0,2014-06-23,3,13100,low_standard
165000.0,2015-05-13,3,7334,low_standard
165000.0,2014-10-03,3,10152,low_standard
165000.0,2014-06-05,3,19200,low_standard
165000.0,2014-08-22,3,2415,low_standard
165000.0,2014-09-02,4,7980,low_standard
165000.0,2015-01-20,2,6380,low_standard
165000.0,2014-08-25,3,22764,low_standard
165000.0,2014-07-26,3,8700,low_standard
165000.0,2015-01-05,3,7503,low_standard
165000.0,2014-10-23,3,7742,low_standard
165000.0,2014-06-10,3,6600,low_standard
165050.0,2014-07-01,3,8514,low_standard
166000.0,2015-01-02,2,8487,low_standard
166000.0,2014-10-23,1,17332,low_standard
166000.0,2015-04-30,3,11675,low_standard
166600.0,2014-11-13,3,8690,low_standard
166950.0,2014-11-05,3,8820,low_standard
167000.0,2014-09-26,3,7456,low_standard
167000.0,2015-04-30,1,10235,low_standard
167000.0,2014-07-28,3,5547,low_standard
167500.0,2014-09-24,3,3090,low_standard
168000.0,2014-07-29,3,7210,low_standard
168000.0,2014-05-22,2,2174,low_standard
168000.0,2014-07-14,3,7439,low_standard
168000.0,2014-05-30,2,3568,low_standard
168000.0,2015-03-25,3,8000,low_standard
168500.0,2014-05-28,3,10125,low_standard
168500.0,2015-01-29,2,7742,low_standard
169000.0,2014-08-19,3,18459,low_standard
169000.0,2014-10-23,3,9775,low_standard
169000.0,2014-09-26,3,7686,low_standard
169000.0,2014-08-05,3,6450,low_standard
169000.0,2014-07-16,3,7110,low_standard
169100.0,2014-08-14,3,18304,low_standard
169317.0,2015-02-18,2,4000,low_standard
169500.0,2014-08-11,3,10023,low_standard
169500.0,2014-07-31,2,7450,low_standard
169575.0,2014-10-05,3,8284,low_standard
169900.0,2014-09-16,3,5800,low_standard
169950.0,2014-09-16,3,9832,low_standard
169950.0,2014-09-08,3,8470,low_standard
170000.0,2015-02-19,3,10176,low_standard
170000.0,2015-03-26,1,5600,low_standard
170000.0,2014-10-27,3,9529,low_standard
170000.0,2014-07-14,3,7015,low_standard
170000.0,2014-07-23,4,7500,low_standard
170000.0,2014-12-12,2,11400,low_standard
170000.0,2015-05-13,3,8710,low_standard
170000.0,2014-06-27,2,8424,low_standard
170000.0,2015-01-26,2,8636,low_standard
170000.0,2014-06-04,2,18540,low_standard
170000.0,2014-11-19,2,9882,low_standard
170000.0,2014-07-18,2,21750,low_standard
170000.0,2015-01-20,3,10780,low_standard
170000.0,2014-07-15,3,81549,low_standard
170000.0,2014-06-17,4,13787,low_standard
170000.0,2015-03-18,3,6750,low_standard
170000.0,2014-09-30,3,42180,low_standard
170000.0,2014-09-26,2,6537,low_standard
170000.0,2014-06-30,2,24792,low_standard
170000.0,2014-09-04,1,4560,low_standard
170000.0,2015-02-27,2,5265,low_standard
170000.0,2015-01-22,2,9900,low_standard
170000.0,2014-09-22,3,5670,low_standard
170500.0,2014-07-07,2,7700,low_standard
170500.0,2014-09-23,3,13939,low_standard
171000.0,2014-06-13,4,19672,low_standard
171500.0,2015-05-01,3,6480,low_standard
171800.0,2015-01-08,4,9600,low_standard
172000.0,2014-12-11,3,10260,low_standard
172000.0,2014-07-31,3,4700,low_standard
172000.0,2015-03-11,3,9680,low_standard
172040.0,2015-04-20,3,7134,low_standard
172380.0,2015-03-13,3,8378,low_standard
172500.0,2015-04-24,2,20685,low_standard
172500.0,2014-05-26,3,8800,low_standard
172500.0,2014-08-12,3,7500,low_standard
173000.0,2015-02-10,4,8460,low_standard
173000.0,2014-06-12,2,10450,low_standard
173000.0,2014-10-02,2,8100,low_standard
173250.0,2014-08-20,3,9097,low_standard
173250.0,2014-12-09,3,12696,low_standard
174000.0,2014-07-01,2,13531,low_standard
174000.0,2014-08-26,2,4854,low_standard
174500.0,2014-06-03,2,2689,low_standard
174500.0,2014-05-16,2,5200,low_standard
174900.0,2014-11-11,3,6000,low_standard
174950.0,2014-12-08,2,6000,low_standard
174950.0,2014-05-15,3,5200,low_standard
175000.0,2015-03-16,3,8415,low_standard
175000.0,2014-10-17,2,5508,low_standard
175000.0,2014-07-21,3,6600,low_standard
175000.0,2014-06-18,2,5000,low_standard
175000.0,2014-11-06,3,7572,low_standard
175000.0,2014-06-18,6,5080,low_standard
175000.0,2015-02-06,3,8395,low_standard
175000.0,2015-02-18,2,6911,low_standard
175000.0,2014-05-28,2,2699,low_standard
175000.0,2015-02-12,5,8400,low_standard
175000.0,2014-10-27,3,17003,low_standard
175000.0,2015-03-17,2,6600,low_standard
175000.0,2014-05-06,3,7034,low_standard
175000.0,2014-06-20,2,5130,low_standard
175000.0,2015-03-13,2,28270,low_standard
175000.0,2015-04-24,2,12750,low_standard
175000.0,2015-03-25,3,4920,low_standard
175000.0,2014-09-25,2,3434,low_standard
175000.0,2014-09-11,4,6030,low_standard
175000.0,2015-03-05,3,6164,low_standard
175000.0,2015-01-13,3,9775,low_standard
175000.0,2014-06-16,3,7300,low_standard
175000.0,2014-05-23,2,44431,low_standard
175000.0,2014-08-05,2,9800,low_standard
175000.0,2014-07-02,4,6000,low_standard
175000.0,2014-12-18,2,7150,low_standard
175000.0,2014-06-04,2,2378,low_standard
175000.0,2014-05-21,3,13056,low_standard
175000.0,2015-03-05,2,8174,low_standard
175000.0,2014-06-10,6,8400,low_standard
175000.0,2015-04-14,3,11880,low_standard
175000.0,2015-04-28,1,8685,low_standard
175000.0,2015-01-28,2,7000,low_standard
175000.0,2014-05-14,2,8925,low_standard
175000.0,2015-04-30,3,8924,low_standard
175000.0,2014-09-23,4,6250,low_standard
175003.0,2014-12-01,3,1882,low_standard
175409.0,2014-10-08,4,5530,low_standard
176000.0,2014-09-30,2,2332,low_standard
176000.0,2014-08-06,2,5200,low_standard
176000.0,2014-12-10,3,5449,low_standard
176000.0,2015-02-06,3,5434,low_standard
176250.0,2015-04-10,4,6702,low_standard
176500.0,2015-01-16,3,9900,low_standard
177000.0,2014-06-19,3,8079,low_standard
177000.0,2015-03-03,3,5200,low_standard
177500.0,2014-06-26,3,6000,low_standard
178000.0,2014-08-01,3,5734,low_standard
178000.0,2015-03-18,4,11163,low_standard
178000.0,2015-02-24,5,18200,low_standard
178000.0,2014-07-15,3,6500,low_standard
178500.0,2014-08-21,2,3447,low_standard
178500.0,2015-02-12,3,10511,low_standard
178500.0,2014-10-23,3,8470,low_standard
178500.0,2015-03-23,3,10450,low_standard
178500.0,2014-07-21,2,6460,low_standard
179000.0,2014-08-13,3,5200,low_standard
179000.0,2015-04-13,2,8914,low_standard
179000.0,2014-07-29,4,7175,low_standard
179000.0,2014-10-02,2,8760,low_standard
179500.0,2014-12-19,3,32214,low_standard
179500.0,2015-01-28,3,8100,low_standard
179900.0,2014-08-28,3,9920,low_standard
179900.0,2014-09-24,3,12000,low_standard
179900.0,2014-09-16,2,6400,low_standard
179950.0,2014-11-20,2,7323,low_standard
179950.0,2015-04-13,4,5200,low_standard
179950.0,2014-11-12,3,4875,low_standard
179950.0,2014-11-07,3,10125,low_standard
179950.0,2014-12-01,3,9907,low_standard
179950.0,2014-12-11,2,9000,low_standard
180000.0,2014-12-08,3,3540,low_standard
180000.0,2015-05-13,2,9450,low_standard
180000.0,2014-09-24,3,16000,low_standard
180000.0,2015-01-08,3,5500,low_standard
180000.0,2014-06-18,3,6350,low_standard
180000.0,2014-12-12,2,87991,low_standard
180000.0,2014-09-09,4,18581,low_standard
180000.0,2014-11-13,3,11055,low_standard
180000.0,2015-02-25,3,6771,low_standard
180000.0,2014-12-11,3,8960,low_standard
180000.0,2014-05-22,3,5330,low_standard
180000.0,2014-05-22,4,7292,low_standard
180000.0,2014-09-25,3,4875,low_standard
180000.0,2014-05-16,3,18513,low_standard
180000.0,2014-10-21,2,5695,low_standard
180000.0,2014-08-21,3,5700,low_standard
180000.0,2014-12-01,3,9583,low_standard
180000.0,2014-11-14,3,8581,low_standard
180000.0,2014-05-22,2,4500,low_standard
180000.0,2014-12-03,5,11726,low_standard
180000.0,2014-09-05,2,9370,low_standard
180000.0,2014-08-07,3,10215,low_standard
180000.0,2014-12-12,3,8863,low_standard
180000.0,2015-03-19,2,6000,low_standard
180000.0,2015-02-25,2,10000,low_standard
180000.0,2014-08-19,3,7056,low_standard
180000.0,2015-04-08,3,8500,low_standard
180250.0,2014-11-23,2,9600,low_standard
180500.0,2015-03-16,2,5000,low_standard
180500.0,2014-10-15,3,8518,low_standard
180500.0,2015-01-07,3,9800,low_standard
181000.0,2015-02-26,2,5120,low_standard
181000.0,2015-04-17,2,4000,low_standard
181000.0,2014-07-31,2,10807,low_standard
181100.0,2014-07-16,4,7500,low_standard
182000.0,2014-09-26,3,7350,low_standard
182000.0,2014-11-24,3,18055,low_standard
182000.0,2014-07-28,3,8875,low_standard
182200.0,2014-10-21,4,13927,low_standard
182500.0,2015-04-27,3,4744,low_standard
182500.0,2014-10-27,3,7194,low_standard
182500.0,2014-08-08,2,13920,low_standard
182568.0,2014-07-28,4,2106,low_standard
182700.0,2014-10-08,3,6650,low_standard
183000.0,2015-03-26,2,7272,low_standard
183000.0,2014-07-25,3,5200,low_standard
183000.0,2014-06-16,3,8100,low_standard
183000.0,2014-08-12,2,5140,low_standard
183000.0,2014-07-31,3,4366,low_standard
183000.0,2015-05-14,3,7320,low_standard
183000.0,2014-06-10,3,9200,low_standard
183500.0,2014-07-08,3,8892,low_standard
183500.0,2015-03-23,3,7520,low_standard
183750.0,2015-03-26,3,3451,low_standard
183750.0,2015-03-12,5,5453,low_standard
184000.0,2015-01-29,3,14850,low_standard
184000.0,2015-03-26,3,8680,low_standard
184000.0,2014-05-05,3,10125,low_standard
184500.0,2015-04-21,3,3640,low_standard
184500.0,2015-01-29,2,5880,low_standard
184900.0,2014-08-21,2,5000,low_standard
184900.0,2014-07-30,3,10080,low_standard
185000.0,2014-11-14,3,9605,low_standard
185000.0,2014-12-29,3,7000,low_standard
185000.0,2014-08-20,3,10816,low_standard
185000.0,2014-05-12,3,8470,low_standard
185000.0,2014-11-20,3,4031,low_standard
185000.0,2014-06-06,3,8100,low_standard
185000.0,2014-12-08,3,9198,low_standard
185000.0,2015-01-08,2,6750,low_standard
185000.0,2014-08-06,4,6700,low_standard
185000.0,2014-09-19,3,7155,low_standard
185000.0,2014-05-07,4,6600,low_standard
185000.0,2014-05-15,3,8100,low_standard
185000.0,2015-04-20,3,7800,low_standard
185000.0,2014-07-15,5,27810,low_standard
185000.0,2014-11-07,3,7755,low_standard
185000.0,2015-02-12,2,9100,low_standard
185000.0,2014-07-15,3,17040,low_standard
185000.0,2014-08-22,2,16030,low_standard
185000.0,2014-11-17,3,9135,low_standard
185000.0,2014-09-04,1,5000,low_standard
185000.0,2015-03-09,3,1848,low_standard
185000.0,2014-08-12,2,8000,low_standard
185000.0,2014-08-05,3,9262,low_standard
185000.0,2014-11-19,2,11340,low_standard
185000.0,2015-01-08,3,6400,low_standard
185000.0,2014-07-02,5,6700,low_standard
185000.0,2014-10-03,3,7125,low_standard
185000.0,2014-09-23,4,8906,low_standard
185000.0,2015-01-08,4,8684,low_standard
185000.0,2015-02-25,3,12091,low_standard
185000.0,2014-10-03,3,9085,low_standard
185850.0,2015-03-06,3,11662,low_standard
185900.0,2015-01-30,3,10890,low_standard
186000.0,2014-06-19,3,4320,low_standard
186000.0,2015-02-11,3,10080,low_standard
186000.0,2015-01-27,3,7967,low_standard
186375.0,2015-04-28,3,7636,low_standard
186950.0,2014-05-28,2,1302,low_standard
187000.0,2014-07-09,2,11600,low_standard
187000.0,2014-10-15,2,5400,low_standard
187000.0,2014-10-21,3,4452,low_standard
187000.0,2014-07-22,3,1803,low_standard
187000.0,2014-11-10,2,10346,low_standard
187000.0,2014-08-15,2,2926,low_standard
187250.0,2014-12-03,2,14700,low_standard
187300.0,2014-07-18,2,7697,low_standard
187500.0,2014-06-17,3,7000,low_standard
187500.0,2014-07-28,3,8400,low_standard
188000.0,2015-01-29,3,8500,low_standard
188000.0,2015-01-27,2,17487,low_standard
188000.0,2014-10-07,1,16345,low_standard
188000.0,2015-03-23,3,7350,low_standard
188200.0,2015-04-20,3,7265,low_standard
188500.0,2014-07-23,2,2493,low_standard
189000.0,2014-12-05,2,9850,low_standard
189000.0,2014-11-03,2,7128,low_standard
189000.0,2014-06-05,3,7560,low_standard
189000.0,2015-02-19,3,5200,low_standard
189000.0,2015-02-11,3,7282,low_standard
189000.0,2014-05-28,2,3171,low_standard
189000.0,2014-12-30,3,11481,low_standard
189650.0,2014-05-21,2,7600,low_standard
189900.0,2014-10-08,2,5600,low_standard
189900.0,2014-07-22,2,4179,low_standard
189950.0,2015-04-15,2,4188,low_standard
189950.0,2014-11-25,3,6460,low_standard
189950.0,2015-03-11,4,4225,low_standard
190000.0,2014-11-25,3,9600,low_standard
190000.0,2014-12-30,3,40039,low_standard
190000.0,2015-03-25,4,7920,low_standard
190000.0,2014-07-08,3,10575,low_standard
190000.0,2015-03-17,2,3101,low_standard
190000.0,2014-07-15,4,13493,low_standard
190000.0,2014-08-12,2,9031,low_standard
190000.0,2015-02-26,3,7700,low_standard
190000.0,2015-02-20,3,8760,low_standard
190000.0,2015-01-13,3,5850,low_standard
190000.0,2014-06-18,1,4800,low_standard
190000.0,2014-12-30,3,8100,low_standard
190000.0,2015-03-09,3,7875,low_standard
190000.0,2015-05-06,3,7730,low_standard
190000.0,2014-10-06,3,7625,low_standard
190000.0,2014-10-20,3,10458,low_standard
190000.0,2014-08-21,2,11450,low_standard
190000.0,2014-10-17,3,10900,low_standard
190000.0,2014-05-15,3,8520,low_standard
190000.0,2014-08-01,2,1737,low_standard
190000.0,2015-04-03,4,6250,low_standard
190000.0,2015-02-26,3,8910,low_standard
190000.0,2014-08-01,3,7370,low_standard
190000.0,2014-10-17,2,3438,low_standard
190000.0,2014-06-25,1,29258,low_standard
190000.0,2014-08-15,2,12252,low_standard
190000.0,2015-05-04,2,1164794,low_standard
190000.0,2015-02-11,2,9500,low_standard
190000.0,2015-05-06,4,9861,low_standard
190000.0,2015-01-06,3,5100,low_standard
190000.0,2015-02-13,3,8775,low_standard
190000.0,2014-11-20,2,6900,low_standard
