,street,house_number,city,state
0,Northwest Honeywood Court,1098,Issaquah,Washington
0,North 74th Street,719,Seattle,Washington
0,233rd Court Southeast,26707,Maple Valley,Washington
0,Chief Sealth Trail,NA,Seattle,Washington
0,R Street Northwest,1119,Auburn,Washington
0,Northwest 95th Street,820,Seattle,Washington
0,North 74th Street,767,Seattle,Washington
0,69th Place South,11440,Seattle,Washington
0,Military Road South,11834,Burien,Washington
0,30th Avenue South,1733,Seattle,Washington
0,Northwest 197th Street,NA,Shoreline,Washington
0,Northeast 142nd Street,8621,Kirkland,Washington
0,Northwest 97th Street,612,Seattle,Washington
0,Seward Park Avenue South,7958,Seattle,Washington
0,Northeast 99th Way,18322,Redmond,Washington
0,Northeast 1st Street,9616,Bellevue,Washington
0,South Rustic Road,7218,Seattle,Washington
0,44th Place Southwest,32219,Federal Way,Washington
0,North 65th Street,512,Seattle,Washington
0,Southeast Gravenstein Court,36702,Snoqualmie,Washington
0,37th Street Southeast,5805,Auburn,Washington
0,Jasmine Place Northwest,NA,Issaquah,Washington
0,NA,NA,NA,Washington
0,Northeast Logan Street,NA,Issaquah,Washington
0,Northwest 61st Street,1722,Seattle,Washington
0,South 308th Lane,2833,Federal Way,Washington
0,26th Place South,30204,Federal Way,Washington
0,59th Place Northeast,19311,Kenmore,Washington
0,Northeast 117th Street,3825,Seattle,Washington
0,Northwest 60th Street,1749,Seattle,Washington
0,1st Avenue West,1604,Seattle,Washington
0,Southeast 42nd Place,15954,Bellevue,Washington
0,Southeast 164th Street,12759,Renton,Washington
0,Evanston Avenue North,11700,Seattle,Washington
0,125th Avenue Southeast,6026,Bellevue,Washington
0,Northeast 156th Place,NA,NA,Washington
0,2nd Avenue North,1816,Seattle,Washington
0,299th Place Southeast,8485,NA,Washington
0,South 239th Street,3704,Kent,Washington
0,Wallingford Avenue North,8012,Seattle,Washington
0,North 76th Street,355,Seattle,Washington
0,2nd Avenue Northwest,3952,Seattle,Washington
0,South 308th Street,2223,Federal Way,Washington
0,Somerset Drive Southeast,4671,Bellevue,Washington
0,26th Avenue Northeast,6849,Seattle,Washington
0,125th Avenue Southeast,17229,Renton,Washington
0,Southeast 86th Place,12703,NA,Washington
0,Southwest 322nd Street,2719,Federal Way,Washington
0,Lafromboise Street,1857,Enumclaw,Washington
0,166th Place Southeast,14538,Renton,Washington
0,Southwest 129th Street,105,Burien,Washington
0,111th Avenue Northeast,13024,Kirkland,Washington
0,Southeast 8th Street,24009,Sammamish,Washington
0,88th Avenue Northeast,14413,Kirkland,Washington
0,239th Avenue Southeast,16037,Issaquah,Washington
0,129th Place Northeast,13415,Kirkland,Washington
0,Des Moines Creek Trail,21619,NA,Washington
0,Southeast 45th Court,16098,Bellevue,Washington
0,Northeast 115th Way,8236,Kirkland,Washington
0,North 161st Street,2362,Shoreline,Washington
0,2nd Avenue Southwest,14003,Burien,Washington
0,33rd Place Southwest,33406,Federal Way,Washington
0,Densmore Avenue North,18840,Shoreline,Washington
0,118th Avenue Northeast,4114,Kirkland,Washington
0,161st Avenue Southeast,4652,Bellevue,Washington
0,17th Avenue,904,Seattle,Washington
0,19th Avenue South,1806,Seattle,Washington
0,East Marion Street,1915,Seattle,Washington
0,Harmony Lane,811,Enumclaw,Washington
0,1st Avenue Northwest,12732,Seattle,Washington
0,Southeast 280th Court,12128,Kent,Washington
0,35th Avenue Southwest,7000,Seattle,Washington
0,106th Avenue Northeast,11611,Kirkland,Washington
0,Southeast 242nd Street,22730,Maple Valley,Washington
0,178th Court Northeast,11299,Redmond,Washington
0,114th Avenue Northeast,6206,Kirkland,Washington
0,36th Avenue Southwest,32621,Federal Way,Washington
0,Northeast 11th Place,22354,Sammamish,Washington
0,Ashworth Avenue North,3526,Seattle,Washington
0,140th Place Northeast,NA,Redmond,Washington
0,113th Avenue Northeast,14004,Kirkland,Washington
0,118th Avenue Southeast,15859,Renton,Washington
0,Southeast 58th Street,9051,Mercer Island,Washington
0,Burke Avenue North,18008,Shoreline,Washington
0,27th Avenue Northeast,16400,Shoreline,Washington
0,Southwest 361st Street,833,Federal Way,Washington
0,16th Avenue South,5802,Seattle,Washington
0,31st Avenue Southwest,5942,Seattle,Washington
0,Preston Fall City Road Southeast,NA,NA,Washington
0,260th Avenue Southeast,21820,Maple Valley,Washington
0,Northeast 20th Street,2625,Renton,Washington
0,132nd Avenue Southeast,25002,Kent,Washington
0,Northwest 64th Street,2823,Seattle,Washington
0,28th Place Southwest,33400,Federal Way,Washington
0,Southeast 4th Place,4519,Renton,Washington
0,Southeast 72nd Place,9061,Mercer Island,Washington
0,Northeast 120th Street,16820,Redmond,Washington
0,Southwest Hinds Street,3816,Seattle,Washington
0,4th Avenue Southwest,15836,Burien,Washington
0,Midvale Avenue North,10556,Seattle,Washington
0,221st Avenue Southeast,27611,Maple Valley,Washington
0,41st Avenue Northeast,4059,Seattle,Washington
0,Northeast 5th Place,24295,Sammamish,Washington
0,47th Court South,31705,Auburn,Washington
0,South Graham Street,5149,Seattle,Washington
0,South 128th Street,2616,Burien,Washington
0,Ferncroft Road,NA,Mercer Island,Washington
0,37th Avenue Southwest,10010,Seattle,Washington
0,32nd Avenue South,1534,Seattle,Washington
0,Northwest 118th Street,817,Seattle,Washington
0,Southeast 28th Court,23417,Sammamish,Washington
0,South 227th Place,2640,Des Moines,Washington
0,Northeast 191st Street,9311,Bothell,Washington
0,East Chicago Street,1322,Kent,Washington
0,Southeast 245th Street,23844,Maple Valley,Washington
0,32nd Place Southwest,10111,Seattle,Washington
0,Big Leaf Way NE,11956,Union Hill-Novelty Hill,Washington
0,30th Avenue Southwest,34434,Federal Way,Washington
0,94th Place South,21648,Kent,Washington
0,229th Drive Northeast,8632,Union Hill-Novelty Hill,Washington
0,Southwest 172nd Street,3316,Burien,Washington
0,132nd Place Southeast,9007,NA,Washington
0,Southwest 325th Place,229,Federal Way,Washington
0,Southeast 42nd Street,33097,NA,Washington
0,24th Avenue South,4921,Seattle,Washington
0,118th Avenue Northeast,4143,Kirkland,Washington
0,296th Avenue Southeast,28425,NA,Washington
0,23rd Avenue,1419,Seattle,Washington
0,Northeast 188th Street,23726,NA,Washington
0,South 295th Place,806,Federal Way,Washington
0,South 317th Street,1035,Federal Way,Washington
0,35th Avenue Southwest,7936,Seattle,Washington
0,27th Avenue Northeast,6017,Seattle,Washington
0,16th Street Northeast,1032,Auburn,Washington
0,Dayton Avenue North,6701,Seattle,Washington
0,49th Avenue Southwest,32830,Federal Way,Washington
0,East Lake Sammamish Trail,NA,Sammamish,Washington
0,17th Avenue Southwest,9033,Seattle,Washington
0,M Place Southeast,3307,Auburn,Washington
0,North 77th Street,949,Seattle,Washington
0,South 263rd Street,4424,Kent,Washington
0,172nd Court Southeast,18416,Renton,Washington
0,472nd Place Southeast,NA,NA,Washington
0,51st Avenue South,6903,Seattle,Washington
0,122nd Place Southeast,28015,Kent,Washington
0,Northeast 95th Street,800,Seattle,Washington
0,8th Avenue Southwest,8414,Seattle,Washington
0,Southeast 142nd Street,14506,Renton,Washington
0,426th Avenue Southeast,17394,NA,Washington
0,Northeast 117th Street,17219,Redmond,Washington
0,23rd Avenue East,1822,Seattle,Washington
0,South 203rd Street,3410,SeaTac,Washington
0,219th Avenue Northeast,696,Sammamish,Washington
0,26th Avenue South,711,Seattle,Washington
0,Southwest Hawthorne Lane,8232,Vashon,Washington
0,127th Court Southeast,22020,Kent,Washington
0,19th Avenue Southwest,5248,Seattle,Washington
0,35th Avenue Northeast,7024,Seattle,Washington
0,27th Place Southwest,33745,Federal Way,Washington
0,88th Avenue Northeast,2246,NA,Washington
0,Tolt Pipeline Trail,NA,Cottage Lake,Washington
0,Evanston Avenue North,11203,Seattle,Washington
0,8th Place South,30621,Federal Way,Washington
0,63rd Avenue South,10658,Seattle,Washington
0,West Government Way,3304,Seattle,Washington
0,Southeast 209th Court,13021,Kent,Washington
0,Southeast 151st Street,13215,Renton,Washington
0,62nd Avenue Northeast,18425,Kenmore,Washington
0,Southeast 245th Street,20236,Maple Valley,Washington
0,Seward Park Avenue South,7323,Seattle,Washington
0,100th Avenue Southeast,23028,Kent,Washington
0,49th Avenue South,10908,Tukwila,Washington
0,36th Avenue,1700,Seattle,Washington
0,236th Avenue Northeast,8925,Union Hill-Novelty Hill,Washington
0,Northeast 166th Street,8227,Kenmore,Washington
0,129th Avenue Southeast,24224,Kent,Washington
0,147th Avenue Northeast,NA,Woodinville,Washington
0,111th Court Northeast,13240,Kirkland,Washington
0,Southeast 63rd Street,14217,Bellevue,Washington
0,Southeast Newport Way,14580,Bellevue,Washington
0,Normandy Park Drive Southwest,19412,NA,Washington
0,89th Court Northeast,12519,Kirkland,Washington
0,South 299th Street,6415,Auburn,Washington
0,119th Place Southeast,6933,NA,Washington
0,33rd Avenue Southwest,3608,Seattle,Washington
0,Southeast 16th Place,24132,Sammamish,Washington
0,Southeast 276th Place,14675,Kent,Washington
0,Northeast 18th Street,4809,Renton,Washington
0,17th Avenue South,4915,Seattle,Washington
0,Military Road South,17904,SeaTac,Washington
0,East Lake Sammamish Trail,NA,Sammamish,Washington
0,26th Avenue South,28089,Federal Way,Washington
0,28th Avenue Northwest,8811,Seattle,Washington
0,256th Place Southeast,27669,Maple Valley,Washington
0,Southwest 142nd Street,209,Burien,Washington
0,27th Avenue East,443,Seattle,Washington
0,Northwest 204th Street,2110,Shoreline,Washington
0,Northeast 42nd Street,21192,Sammamish,Washington
0,28th Avenue Northeast,5520,Seattle,Washington
0,Southeast 73rd Place,12001,NA,Washington
0,30th Avenue South,119,Seattle,Washington
0,Southeast 80th Street,37800,NA,Washington
0,West Blaine Street,709,Seattle,Washington
0,Southeast 58th Place,17724,Bellevue,Washington
0,Southeast 58th Place,17724,Bellevue,Washington
0,Southeast 176th Place,16207,Renton,Washington
0,North 147th Street,2196,Shoreline,Washington
0,138th Place Southeast,28506,Kent,Washington
0,North 48th Street,1022,Seattle,Washington
0,2nd Avenue Southwest,13700,Burien,Washington
0,142nd Avenue Northeast,8098,Redmond,Washington
0,Sierra Court Southwest,3257,Issaquah,Washington
0,3rd Avenue Southwest,123,NA,Washington
0,30th Avenue Southwest,34410,Federal Way,Washington
0,Southwest 120th Street,1326,Burien,Washington
0,Southwest 120th Street,1326,Burien,Washington
0,Northeast 199th Place,18398,NA,Washington
0,11th Avenue East,2625,Seattle,Washington
0,Southwest 146th Street,721,Burien,Washington
0,Southeast 21st Place,13156,Bellevue,Washington
0,Pullman Avenue Northeast,4815,Seattle,Washington
0,9th Avenue South,20238,Des Moines,Washington
0,Almadon Street,121,Enumclaw,Washington
0,Keystone Place North,5126,Seattle,Washington
0,Southeast 46th Street,9140,Mercer Island,Washington
0,Southeast 283rd Street,21656,Maple Valley,Washington
0,132nd Avenue Northeast,18999,Woodinville,Washington
0,North 70th Street,109,Seattle,Washington
0,North 171st Street,NA,Shoreline,Washington
0,South 121st Street,8916,Seattle,Washington
0,Avondale Road Northeast,10612,Redmond,Washington
0,138th Avenue Southeast,8911,NA,Washington
0,Northeast 128th Street,819,Seattle,Washington
0,Southwest 250th Way,12198,NA,Washington
0,Curtis Drive Southeast,7011,Snoqualmie,Washington
0,74th Place South,12646,Seattle,Washington
0,74th Place South,12646,Seattle,Washington
0,196th Avenue Southeast,14602,NA,Washington
0,Southeast 270th Street,12613,Kent,Washington
0,21st Avenue Northeast,19599,Lake Forest Park,Washington
0,361st Avenue Northeast,NA,NA,Washington
0,Southeast 48th Street,8770,Mercer Island,Washington
0,2nd Place Southwest,20853,NA,Washington
0,Dayton Avenue North,7011,Seattle,Washington
0,South 324th Street,5124,Auburn,Washington
0,43rd Avenue South,6609,Seattle,Washington
0,228th Place Southeast,27025,Maple Valley,Washington
0,Southeast 38th Place,15344,Bellevue,Washington
0,Northeast 100th Street,13641,Redmond,Washington
0,39th Avenue Southwest,4150,Seattle,Washington
0,273rd Avenue Northeast,3092,NA,Washington
0,149th Place Southeast,14024,Renton,Washington
0,234th Way Southeast,24220,Maple Valley,Washington
0,116th Avenue Northeast,7632,Kirkland,Washington
0,132nd Avenue Southeast,4479,Bellevue,Washington
0,473rd Avenue Southeast,12626,North Bend,Washington
0,Southwest 170th Street,1928,Burien,Washington
0,Northeast 30th Place,24120,Sammamish,Washington
0,223rd Avenue Southeast,1722,Sammamish,Washington
0,Northeast 4th Court,2719,Renton,Washington
0,Aberdeen Place Northeast,2118,Renton,Washington
0,North 196th Street,1301,Shoreline,Washington
0,North 196th Street,1301,Shoreline,Washington
0,8th Avenue Southwest,35638,Federal Way,Washington
0,Blaine Avenue Northeast,1260,Renton,Washington
0,278th Avenue Southeast,2951,Sammamish,Washington
0,23rd Avenue Northeast,12016,Seattle,Washington
0,221st Avenue Southeast,26628,Maple Valley,Washington
0,North 75th Street,2405,Seattle,Washington
0,Hiawatha Place South,1126,Seattle,Washington
0,108th Place Northeast,10919,Bothell,Washington
0,Northeast 141st Street,20880,Cottage Lake,Washington
0,283rd Court Northeast,13899,Duvall,Washington
0,183rd Avenue Northeast,2026,Redmond,Washington
0,145th Place Southeast,5298,Bellevue,Washington
0,85th Place Southeast,6192,Mercer Island,Washington
0,145th Place Northeast,17946,Woodinville,Washington
0,158th Place Southeast,12902,Renton,Washington
0,26th Avenue Southwest,11614,Burien,Washington
0,1st Avenue Northwest,19722,Shoreline,Washington
0,12th Avenue Southwest,8146,Seattle,Washington
0,Northeast 2nd Place,17071,Bellevue,Washington
0,Northeast 202nd Street,32480,NA,Washington
0,92nd Avenue Northeast,2103,NA,Washington
0,Southeast 46th Street,9360,Mercer Island,Washington
0,75th Avenue Northeast,15415,Kenmore,Washington
0,Southeast 15th Street,16646,Bellevue,Washington
0,158th Avenue Southeast,4121,Bellevue,Washington
0,South Genesee Street,3508,Seattle,Washington
0,Southeast Fairwood Boulevard,13805,Renton,Washington
0,21st Avenue,NA,Seattle,Washington
0,Southeast 472nd Street,23849,Enumclaw,Washington
0,23rd Avenue Northwest,8034,Seattle,Washington
0,Southeast 133rd Street,42298,NA,Washington
0,231st Place Southeast,24226,Maple Valley,Washington
0,Wickstrom Place Southwest,2434,Seattle,Washington
0,Midvale Avenue North,4451,Seattle,Washington
0,Southeast 319th Street,11547,Auburn,Washington
0,113th Way Southeast,19117,Renton,Washington
0,Southeast 221st Street,23633,Maple Valley,Washington
0,112th Place Southeast,22116,Kent,Washington
0,115th Avenue Southwest,24599,NA,Washington
0,Northeast 200th Street,18261,NA,Washington
0,106th Avenue Northeast,11815,Kirkland,Washington
0,Rainier Avenue South,11005,Seattle,Washington
0,Northeast 112th Place,13221,Redmond,Washington
0,295th Avenue Southeast,3999,NA,Washington
0,North 160th Street,2221,Shoreline,Washington
0,267th Court Northeast,14413,Duvall,Washington
0,Southeast 15th Place,NA,NA,Washington
0,North 82nd Street,1713,Seattle,Washington
0,Southeast 42nd Street,12115,Bellevue,Washington
0,Southeast 84th Street,12831,NA,Washington
0,Southeast 189th Place,13518,Renton,Washington
0,19th Avenue,537,Seattle,Washington
0,Southeast 271st Street,22054,Maple Valley,Washington
0,3rd Avenue Southwest,16420,NA,Washington
0,Northeast 33rd Street,8992,NA,Washington
0,Northeast 139th Street,10521,Kirkland,Washington
0,Southeast 186th Street,12152,Renton,Washington
0,139th Avenue Southeast,25405,Kent,Washington
0,160th Avenue Northeast,13355,NA,Washington
0,Sunnyside Avenue North,4632,Seattle,Washington
0,108th Avenue Southeast,18865,Renton,Washington
0,Northeast 201st Place,8625,Bothell,Washington
0,Southeast 49th Street,13279,Bellevue,Washington
0,224th Place Northeast,2599,Sammamish,Washington
0,Northeast 107th Court,17722,Redmond,Washington
0,Roosevelt Way Northeast,6709,Seattle,Washington
0,39th Avenue Southwest,11001,Seattle,Washington
0,5th Avenue Southwest,200,NA,Washington
0,51st Avenue South,28970,NA,Washington
0,Pullman Avenue Northeast,4816,Seattle,Washington
0,293rd Avenue Southeast,21665,Maple Valley,Washington
0,35th Avenue South,24317,Kent,Washington
0,Avondale Road Northeast,16603,Cottage Lake,Washington
0,Northwest Pinecone Place,2612,Issaquah,Washington
0,Northeast 149th Street,12119,Kirkland,Washington
0,Northeast 134th Place,9767,Kirkland,Washington
0,Northeast 194th Place,6149,Kenmore,Washington
0,Holmes Point Drive Northeast,13130,Kirkland,Washington
0,95th Place Northeast,20021,Bothell,Washington
0,Southeast 267th Place,23404,Maple Valley,Washington
0,Southeast 42nd Place,16417,Bellevue,Washington
0,Southeast 59th Street,8812,Mercer Island,Washington
0,Northeast 182nd Place,7934,Kenmore,Washington
0,137th Lane Northeast,14898,Woodinville,Washington
0,Southwest 246th Street,8398,NA,Washington
0,Raymond Place Northwest,540,Renton,Washington
0,189th Place Southeast,26222,Covington,Washington
0,162nd Lane Southeast,4598,Bellevue,Washington
0,Southeast 252nd Place,16138,Covington,Washington
0,130th Avenue Southeast,23441,Kent,Washington
0,30th Avenue Southwest,30304,Federal Way,Washington
0,North 183rd Street,185,Shoreline,Washington
0,East Rutherford Street,32247,Carnation,Washington
0,North 141st Street,500,Seattle,Washington
0,175th Place Southeast,25846,Covington,Washington
0,12th Avenue South,13120,Burien,Washington
0,224th Court Southeast,25518,Maple Valley,Washington
0,56th Avenue South,13057,Tukwila,Washington
0,Northeast 27th Place,20547,Sammamish,Washington
0,Lakeside Avenue Northeast,12060,Seattle,Washington
0,204th Terrace Northeast,2561,Sammamish,Washington
0,Southeast 22nd Place,20998,Sammamish,Washington
0,Northeast Jewell Lane,2477,Issaquah,Washington
0,Letitia Avenue South,4020,Seattle,Washington
0,Northeast 91st Street,3511,Seattle,Washington
0,38th Avenue Southwest,5956,Seattle,Washington
0,114th Avenue Northeast,6510,Kirkland,Washington
0,140th Avenue Southeast,3724,Bellevue,Washington
0,135th Place Southeast,23915,Kent,Washington
0,Northeast 27th Street,12430,Bellevue,Washington
0,46th Avenue Southwest,8444,Seattle,Washington
0,250th Avenue Northeast,992,NA,Washington
0,Southwest 328th Place,3520,Federal Way,Washington
0,Saddleback Trail,NA,Bellevue,Washington
0,55th Avenue South,9630,Seattle,Washington
0,271st Avenue SOutheast,1198,Sammamish,Washington
0,NA,NA,Issaquah,Washington
0,139th Place Northeast,7721,Redmond,Washington
0,Southeast 8th Place,2470,Renton,Washington
0,190th Place Southeast,24622,Kent,Washington
0,Northeast 120th Place,9394,Kirkland,Washington
0,Northeast 133rd Street,9325,Kirkland,Washington
0,24th Avenue East,114,Seattle,Washington
0,California Avenue Southwest,2215,Seattle,Washington
0,South 243rd Street,3805,Kent,Washington
0,46th Avenue Southwest,1730,Seattle,Washington
0,Cottonwood Drive Southeast,34546,Snoqualmie,Washington
0,Crest View Loop Southeast,6576,Snoqualmie,Washington
0,19th Avenue Northwest,7008,Seattle,Washington
0,143rd Avenue Southeast,26215,Kent,Washington
0,3rd Street,1031,Kirkland,Washington
0,Southeast 181st Street,11217,Renton,Washington
0,NA,NA,SeaTac,Washington
0,5th Avenue Northwest,6015,Seattle,Washington
0,Southwest Ida Street,4106,Seattle,Washington
0,13th Avenue West,2814,Seattle,Washington
0,9th Avenue,619,Kirkland,Washington
0,Northeast 134th Place,17214,Cottage Lake,Washington
0,Northeast 3rd Court,5941,Renton,Washington
0,Northeast 53rd Place,5330,Union Hill-Novelty Hill,Washington
0,North 145th Street,911,Seattle,Washington
0,48th Avenue Southwest,2716,Seattle,Washington
0,Densmore Avenue North,15769,Shoreline,Washington
0,Kensington Avenue South,105,Kent,Washington
0,125th Place Northeast,7559,Kirkland,Washington
0,East McGilvra Street,3710,Seattle,Washington
0,196th Avenue Southeast,14611,NA,Washington
0,123rd Avenue Southeast,16812,Renton,Washington
0,Rainier Avenue North,879,Renton,Washington
0,North 174th Place,1301,Shoreline,Washington
0,South 15th Street,222,Renton,Washington
0,32nd Avenue Southwest,9342,Seattle,Washington
0,111th Avenue Northeast,1232,Bellevue,Washington
0,Northeast 92nd,22540,Union Hill-Novelty Hill,Washington
0,Southeast 5th Street,29238,NA,Washington
0,23rd Place Northeast,14067,Seattle,Washington
0,192nd Avenue Northeast,NA,NA,Washington
0,Southeast 269th Street,21320,Maple Valley,Washington
0,28th Street Southeast,2906,Auburn,Washington
0,Southeast 19th Street,20084,Sammamish,Washington
0,13th Avenue South,21416,Des Moines,Washington
0,Lynch Lane,32451,NA,Washington
0,135th Avenue Southeast,19231,Renton,Washington
0,106th Avenue Northeast,14934,Bothell,Washington
0,Woodland Park Avenue North,4211,Seattle,Washington
0,Southeast 272nd Court,13612,Kent,Washington
0,Wells Avenue South,3462,Renton,Washington
0,10th Place Southwest,20645,NA,Washington
0,Edmonds Place Northeast,1170,Renton,Washington
0,Somerset Lane,4101,Kent,Washington
0,248th Avenue Southeast,2205,Sammamish,Washington
0,Southeast 235th Place,12836,Kent,Washington
0,157th Avenue Northeast,13351,NA,Washington
0,167th Avenue Southeast,NA,Bellevue,Washington
0,17th Avenue Southwest,9061,Seattle,Washington
0,135th Place Southeast,16817,Renton,Washington
0,South 121st Street,2460,Burien,Washington
0,West Mercer Way,2466,Mercer Island,Washington
0,42nd Avenue West,2801,Seattle,Washington
0,22nd Avenue Northeast,16575,Shoreline,Washington
0,High Avenue South,805,Renton,Washington
0,64th Avenue Northeast,15406,Kenmore,Washington
0,Southeast 100th Street,17128,Renton,Washington
0,Merrimount Drive,8000,Mercer Island,Washington
0,33rd Avenue South,18819,SeaTac,Washington
0,Northeast 31st Street,18196,Redmond,Washington
0,Southeast 267th Place,19914,Covington,Washington
0,372nd Avenue Southeast,9071,NA,Washington
0,Southeast 342nd Street,19415,Auburn,Washington
0,Dayton Avenue North,8728,Seattle,Washington
0,237th Court Northeast,1571,Sammamish,Washington
0,129th Avenue Southeast,2923,Bellevue,Washington
0,Elliston Way Northeast,11087,Union Hill-Novelty Hill,Washington
0,59th Avenue South,10636,Seattle,Washington
0,36th Avenue Northeast,5208,Seattle,Washington
0,2nd Avenue North,2102,Seattle,Washington
0,East Lake Joy Drive Northeast,NA,Carnation,Washington
0,Maple Ridge Way Southeast,27325,Maple Valley,Washington
0,278th Avenue Southeast,2901,Sammamish,Washington
0,17th Avenue South,5830,Seattle,Washington
0,26th Avenue,1417,Seattle,Washington
0,Southeast 172nd Place,13407,Renton,Washington
0,Southeast 200th Street,25027,Maple Valley,Washington
0,50th Street Northeast,1427,Auburn,Washington
0,Northeast 164th Street,23410,NA,Washington
0,Northeast 198th Street,8228,Kenmore,Washington
0,29th Avenue Southwest,33011,Federal Way,Washington
